"","test1","test2","test3","test4","test5"
"1901",2,1,2,2,2
"1904",2,2,2,2,2
"1906",1,2,1,2,2
"1907",1,2,1,1,1
"1908",1,2,1,2,1
"1909",1,2,1,1,1
"1910",1,2,1,1,1
"1914",1,1,1,1,2
"1915",1,2,1,2,1
"1918",2,1,1,2,1
"1919",2,2,2,2,1
"1920",1,2,1,2,1
"1921",1,2,1,2,1
"1922",2,1,2,2,2
"1924",1,1,1,2,1
"1926",2,2,2,2,2
"1929",1,1,2,1,1
"1934",1,2,1,2,1
"1935",2,2,2,2,1
"1936",1,2,1,2,2
"1937",1,1,1,2,1
"1940",1,2,1,2,2
"1941",1,2,1,2,1
"1945",2,2,2,2,2
"1947",1,1,2,1,1
"1949",2,2,2,1,1
"1950",2,2,1,2,2
"1952",1,2,1,1,1
"1955",1,2,1,2,1
"1956",1,2,1,2,1
"1957",2,2,2,2,2
"1960",1,1,1,2,1
"1962",1,1,1,2,1
"1963",1,2,1,2,2
"1964",1,1,1,1,1
"1967",2,2,2,1,2
"1968",2,1,1,1,1
"1969",1,2,1,1,1
"1970",2,1,1,2,1
"1975",1,2,1,1,1
"1978",1,1,1,2,1
"1981",1,1,1,1,1
"1983",1,2,2,2,1
"1984",1,1,1,1,1
"1985",2,2,1,2,1
"1988",2,2,2,2,2
"1989",2,2,2,2,2
"1990",1,2,1,1,1
"1991",2,1,2,1,1
"1994",2,2,2,2,1
"1997",2,1,2,2,1
"1998",2,1,2,1,2
"2002",1,1,1,1,1
"2003",2,2,1,1,2
"2004",1,2,1,2,1
"2005",1,1,1,2,1
"2006",1,1,1,2,1
"2007",1,1,1,2,2
"2008",1,1,1,1,2
"2014",2,2,2,2,2
"2015",1,1,1,1,1
"2016",2,2,2,2,2
"2019",2,1,1,2,1
"2020",2,2,2,2,2
"2027",1,1,1,1,1
"2028",1,2,1,2,2
"2029",2,2,2,2,2
"2031",2,1,1,2,2
"2032",1,2,1,2,1
"2033",1,1,1,1,1
"2036",2,1,1,2,1
"2038",1,2,1,1,1
"2040",2,2,2,2,2
"2042",1,1,1,1,1
"2044",2,1,1,1,1
"2046",2,2,2,2,1
"2047",1,1,2,1,1
"2049",1,1,1,1,1
"2050",2,2,2,2,2
